id,arrival_time,turnstile_time,admission_time,total_wait
1,63853.43058216413,6.073956228668976,63859.5045383928,6.073956228668976
2,63941.29390642043,4.350218068699178,63945.64412448913,4.350218068699178
3,63994.16832791539,3.9946571983746253,63998.16298511376,3.9946571983746253
4,64032.39327869997,3.7116959796767333,64036.10497467965,3.7116959796767333
5,64062.46897399091,4.445131793530891,64066.91410578444,4.445131793530891
6,64087.32966435245,4.257920537558675,64091.58758489001,4.257920537558675
7,64108.55690787468,5.88049935521849,64114.437407229896,5.88049935521849
8,64127.10290002846,3.5037083848947077,64130.606608413356,3.5037083848947077
9,64143.58636832079,4.066908403336129,64147.65327672413,4.066908403336129
10,64158.43251814999,3.700624675147992,64162.133142825136,3.700624675147992
11,64171.94638990079,3.23675878400536,64175.183148684795,3.23675878400536
12,64184.35439617759,3.4935647305028397,64187.84796090809,3.4935647305028397
13,64195.82930239546,3.0800107775139622,64198.909313172975,3.0800107775139622
14,64206.50599615815,3.821900674236531,64210.32789683239,3.821900674236531
15,64216.49184689122,3.7616461313155014,64220.25349302254,3.7616461313155014
16,64225.87374283821,4.333742309216177,64230.207485147424,4.333742309216177
17,64234.723008930676,6.734162874905451,64241.45717180558,6.734162874905451
18,64243.098928904576,3.3002245140087325,64246.399153418584,3.3002245140087325
19,64251.051322172236,3.857227925785992,64254.90855009802,3.857227925785992
20,64258.622464800894,4.73207976447884,64263.35454456537,4.73207976447884
21,64265.848545522735,4.374998403916834,64270.22354392665,4.374998403916834
22,64272.760785795406,4.370339312881697,64277.13112510829,4.370339312881697
23,64279.386312967676,4.21817001758609,64283.60448298526,4.21817001758609
24,64285.748849199954,4.533479747646197,64290.2823289476,4.533479747646197
25,64291.8692609752,3.2249626436823746,64295.094223618886,3.2249626436823746
26,64297.76600178926,3.344080033559294,64301.11008182282,3.344080033559294
27,64303.455472045345,3.9540024531670497,64307.40947449851,3.9540024531670497
28,64308.95231409459,6.247129077783029,64315.19944317237,6.247129077783029
29,64314.26965598144,6.726031408346898,64320.99568738979,6.726031408346898
30,64319.41931425335,3.426189238714869,64322.84550349206,3.426189238714869
31,64324.411963830054,4.02932053522818,64328.44128436528,4.02932053522818
32,64329.257281161335,4.042521275121544,64333.29980243646,4.042521275121544
33,64333.9640655682,3.9092831756715896,64337.87334874387,3.9092831756715896
34,64338.540342646,8.74868078448344,64347.28902343049,8.74868078448344
35,64342.99345282559,5.865742396621499,64348.85919522221,5.865742396621499
36,64347.3301275819,5.0008096424498945,64352.33093722435,5.0008096424498945
37,64351.55655530502,3.594757242470223,64355.15131254749,3.594757242470223
38,64355.67843847479,3.264691411764943,64358.94312988655,3.264691411764943
39,64359.7010434838,7.64929062579904,64367.3503341096,7.64929062579904
40,64363.62924421648,5.461296242821845,64369.0905404593,5.461296242821845
41,64367.46756030212,3.462275675679848,64370.9298359778,3.462275675679848
42,64371.220190805645,5.035416787621216,64376.255607593266,5.035416787621216
43,64374.89104399497,3.5107285235717427,64378.40177251854,3.5107285235717427
44,64378.48376372178,6.303475323911698,64384.78723904569,6.303475323911698
45,64382.00175286864,3.434429157190607,64385.43618202583,3.434429157190607
46,64385.44819424604,3.4090939927264117,64388.85728823877,3.4090939927264117
47,64388.826069265786,3.047155125757854,64391.873224391544,3.047155125757854
48,64392.138174669155,4.122870771105227,64396.26104544026,4.122870771105227
49,64395.38713754867,5.121038687415421,64400.508176236086,5.121038687415421
50,64398.57542886834,3.703392101924692,64402.27882097026,3.703392101924692
51,64401.70537565948,3.479104076293879,64405.18447973578,3.479104076293879
52,64404.77917204497,5.802513492853905,64410.58168553782,5.802513492853905
53,64407.79888922472,5.87421263899887,64413.67310186372,5.87421263899887
54,64410.766484538,3.084197193988075,64413.85068173199,3.084197193988075
55,64413.68380970306,6.153935446382093,64419.837745149445,6.153935446382093
56,64416.55261832267,4.961058935114124,64421.51367725778,4.961058935114124
57,64419.37457273238,3.1021671791531844,64422.47673991153,3.1021671791531844
58,64422.151250259936,3.8219002564510447,64425.97315051639,3.8219002564510447
59,64424.88414895535,4.253392353231902,64429.137541308584,4.253392353231902
60,64427.5746928448,3.2863417297630804,64430.86103457456,3.2863417297630804
62,64432.834070749675,3.0514583941185265,64435.885529143794,3.0514583941185265
61,64430.22423675499,7.642566146030731,64437.86680290102,7.642566146030731
63,64435.40542421506,5.15591750414751,64440.56134171921,5.15591750414751
64,64437.939469627156,3.2274760143336607,64441.16694564149,3.2274760143336607
65,64440.43732603026,3.733325256012904,64444.17065128627,3.733325256012904
66,64442.90006225286,3.0716059382320964,64445.971668191094,3.0716059382320964
67,64445.32869988444,4.645851057415712,64449.97455094186,4.645851057415712
68,64447.72421603423,5.131862983362225,64452.85607901759,5.131862983362225
69,64450.08754589083,4.926727763348026,64455.014273654175,4.926727763348026
70,64452.41958509975,5.958104477627785,64458.37768957738,5.958104477627785
71,64454.72119197428,7.633620392109151,64462.354812366386,7.633620392109151
72,64456.99318955335,5.880799965365441,64462.87398951872,5.880799965365441
73,64459.23636751927,5.017849383984867,64464.25421690325,5.017849383984867
74,64461.451483986275,4.2969045573991025,64465.748388543674,4.2969045573991025
75,64463.639267170576,4.6485947901019244,64468.28786196068,4.6485947901019244
76,64465.800416950944,6.7058760962681845,64472.50629304721,6.7058760962681845
77,64467.9356063285,6.3700931924176984,64474.30569952092,6.3700931924176984
78,64470.04548279342,4.659460356000636,64474.70494314942,4.659460356000636
79,64472.13066960554,3.10319349088968,64475.23386309643,3.10319349088968
80,64474.19176699537,4.892877928614325,64479.08464492398,4.892877928614325
81,64476.229353291346,4.0646566074792645,64480.294009898826,4.0646566074792645
82,64478.24398597877,5.034588169808558,64483.27857414858,5.034588169808558
83,64480.23620269521,3.389348380813317,64483.625551076024,3.389348380813317
84,64482.20652216712,4.981095852643193,64487.187618019765,4.981095852643193
85,64484.15544509155,6.738517719655647,64490.893962811206,6.738517719655647
86,64486.083454966974,4.865105399454478,64490.94856036643,4.865105399454478
87,64487.9910188766,3.35164223373431,64491.342661110335,3.35164223373431
88,64489.87858822751,4.27546898406581,64494.15405721158,4.27546898406581
90,64493.59547464901,4.411945809792087,64498.0074204588,4.411945809792087
89,64491.746599448416,6.406245232174115,64498.15284468059,6.406245232174115
91,64495.425622243216,3.654571181999927,64499.080193425216,3.654571181999927
92,64497.237437538846,4.336874545108003,64501.574312083954,4.336874545108003
93,64499.03130329573,3.3191016605778714,64502.350404956305,3.3191016605778714
94,64500.80759025433,4.821607631900406,64505.62919788623,4.821607631900406
96,64504.30885362186,4.073035893932683,64508.38188951579,4.073035893932683
95,64502.56665763676,6.322861692431616,64508.88951932919,6.322861692431616
97,64506.03451579592,3.731131758162519,64509.76564755408,3.731131758162519
99,64509.43753863945,5.086997574719135,64514.52453621417,5.086997574719135
100,64511.11552526399,3.587381148368877,64514.702906412356,3.587381148368877
98,64507.743971580625,7.876238981320057,64515.620210561945,7.876238981320057
101,64512.77823074115,3.5094919180919533,64516.28772265924,3.5094919180919533
102,64514.425945702584,4.475711932813283,64518.9016576354,4.475711932813283
103,64516.05895245726,3.4975974235858303,64519.55654988084,3.4975974235858303
104,64517.67752530812,4.4041744217902306,64522.08169972991,4.4041744217902306
105,64519.28193085379,4.264807742118137,64523.546738595905,4.264807742118137
