id,arrival_time,turnstile_time,admission_time,total_wait
1,64225.87374283821,6.073956228668976,64231.94769906688,6.073956228668976
2,64329.257281161335,4.350218068699178,64333.607499230035,4.350218068699178
3,64392.138174669155,3.9946571983746253,64396.13283186753,3.9946571983746253
4,64437.939469627156,3.7116959796767333,64441.65116560683,3.7116959796767333
5,64474.19176699537,4.445131793530891,64478.6368987889,4.445131793530891
6,64504.30885362186,4.257920537558675,64508.566774159415,4.257920537558675
7,64530.136988441685,5.88049935521849,64536.017487796904,5.88049935521849
8,64552.79091119393,3.5037083848947077,64556.294619578824,3.5037083848947077
9,64572.99677511386,4.066908403336129,64577.0636835172,4.066908403336129
10,64591.25472001929,3.700624675147992,64594.95534469444,3.700624675147992
11,64607.92426530667,3.23675878400536,64611.161024090674,3.23675878400536
12,64623.272751255274,3.4935647305028397,64626.76631598578,3.4935647305028397
13,64637.50452043286,3.0800107775139622,64640.58453121038,3.0800107775139622
14,64650.7793671896,3.821900674236531,64654.601267863836,3.821900674236531
15,64663.22467523436,3.7616461313155014,64666.98632136568,3.7616461313155014
16,64674.94367328957,4.333742309216177,64679.277415598786,4.333742309216177
17,64686.02121182885,6.734162874905451,64692.75537470375,6.734162874905451
18,64696.527905172385,3.3002245140087325,64699.82812968639,3.3002245140087325
19,64706.52316533052,3.857227925785992,64710.38039325631,3.857227925785992
20,64716.057466037986,4.73207976447884,64720.789545802465,4.73207976447884
21,64725.17406051893,4.374998403916834,64729.54905892285,4.374998403916834
22,64733.91030418474,4.370339312881697,64738.28064349762,4.370339312881697
23,64742.298686725786,4.21817001758609,64746.51685674337,4.21817001758609
24,64750.367647148734,4.533479747646197,64754.90112689638,4.533479747646197
25,64758.142224441006,3.2249626436823746,64761.36718708469,3.2249626436823746
26,64765.64458218481,3.344080033559294,64768.98866221837,3.344080033559294
27,64772.894435394184,3.9540024531670497,64776.84843784735,3.9540024531670497
28,64779.90940070534,6.247129077783029,64786.156529783126,6.247129077783029
29,64786.705285900425,6.726031408346898,64793.43131730877,6.726031408346898
30,64793.29633098238,3.426189238714869,64796.7225202211,3.426189238714869
31,64799.69541023693,4.02932053522818,64803.724730772155,4.02932053522818
32,64805.91420263745,4.042521275121544,64809.95672391257,4.042521275121544
33,64811.96333637762,3.9092831756715896,64815.872619553294,3.9092831756715896
34,64817.85251211754,8.74868078448344,64826.601192902024,8.74868078448344
35,64823.590608606595,5.865742396621499,64829.45635100322,5.865742396621499
36,64829.18577363034,5.0008096424498945,64834.18658327279,5.0008096424498945
37,64834.64550266803,3.594757242470223,64838.2402599105,3.594757242470223
38,64839.97670720592,3.264691411764943,64843.24139861768,3.264691411764943
39,64845.18577430105,7.64929062579904,64852.83506492685,7.64929062579904
40,64850.27861870987,5.461296242821845,64855.73991495269,5.461296242821845
41,64855.260728671135,3.462275675679848,64858.723004346815,3.462275675679848
42,64860.13720625037,5.035416787621216,64865.17262303799,5.035416787621216
43,64864.91280300496,3.5107285235717427,64868.42353152853,3.5107285235717427
44,64869.591951608214,6.303475323911698,64875.895426932126,6.303475323911698
45,64874.17879397091,3.434429157190607,64877.6132231281,3.434429157190607
46,64878.67720631706,3.4090939927264117,64882.086300309784,3.4090939927264117
47,64883.090821602294,3.047155125757854,64886.13797672805,3.047155125757854
48,64887.42304960673,4.122870771105227,64891.54592037784,4.122870771105227
49,64891.67709498664,5.121038687415421,64896.798133674056,5.121038687415421
50,64895.855973529455,3.703392101924692,64899.55936563138,3.703392101924692
51,64899.96252682311,3.479104076293879,64903.441630899404,3.479104076293879
52,64903.99943552221,5.802513492853905,64909.80194901506,5.802513492853905
53,64907.96923136958,5.87421263899887,64913.84344400858,5.87421263899887
54,64911.874308111044,3.084197193988075,64914.95850530503,3.084197193988075
55,64915.71693142389,6.153935446382093,64921.870866870275,6.153935446382093
56,64919.49924796427,4.961058935114124,64924.46030689938,4.961058935114124
57,64923.2232936261,3.1021671791531844,64926.32546080525,3.1021671791531844
58,64926.89100109267,3.8219002564510447,64930.71290134912,3.8219002564510447
59,64930.504206752616,4.253392353231902,64934.75759910585,4.253392353231902
60,64934.0646570436,3.2863417297630804,64937.35099877336,3.2863417297630804
62,64941.0338620127,3.0514583941185265,64944.08532040682,3.0514583941185265
61,64937.57401427977,7.642566146030731,64945.216580425804,7.642566146030731
63,64944.44570997008,5.15591750414751,64949.60162747423,5.15591750414751
64,64947.81099861157,3.2274760143336607,64951.0384746259,3.2274760143336607
65,64951.13110333692,3.733325256012904,64954.86442859293,3.733325256012904
66,64954.40733837793,3.0716059382320964,64957.478944316164,3.0716059382320964
67,64957.6409604023,4.645851057415712,64962.286811459715,4.645851057415712
68,64960.83317185471,5.131862983362225,64965.965034838075,5.131862983362225
69,64963.98512405791,4.926727763348026,64968.911851821256,4.926727763348026
70,64967.09792009414,5.958104477627785,64973.056024571764,5.958104477627785
71,64970.172617485514,7.633620392109151,64977.80623787762,7.633620392109151
72,64973.21023068987,5.880799965365441,64979.09103065523,5.880799965365441
73,64976.21173342724,5.017849383984867,64981.229582811226,5.017849383984867
74,64979.17806085063,4.2969045573991025,64983.47496540803,4.2969045573991025
75,64982.110111573325,4.6485947901019244,64986.75870636343,4.6485947901019244
76,64985.0087495642,6.7058760962681845,64991.71462566047,6.7058760962681845
77,64987.8748059211,6.3700931924176984,64994.24489911352,6.3700931924176984
78,64990.70908053161,4.659460356000636,64995.36854088761,4.659460356000636
79,64993.51234362981,3.10319349088968,64996.6155371207,3.10319349088968
80,64996.28533725666,4.892877928614325,65001.178215185275,4.892877928614325
81,64999.02877663121,4.0646566074792645,65003.09343323869,4.0646566074792645
82,65001.74335143895,5.034588169808558,65006.77793960876,5.034588169808558
83,65004.42972704345,3.389348380813317,65007.81907542426,3.389348380813317
84,65007.08854562656,4.981095852643193,65012.069641479204,4.981095852643193
85,65009.720427262335,6.738517719655647,65016.45894498199,6.738517719655647
86,65012.325970929036,4.865105399454478,65017.19107632849,4.865105399454478
87,65014.905755463784,3.35164223373431,65018.25739769752,3.35164223373431
88,65017.460340463374,4.27546898406581,65021.73580944744,4.27546898406581
89,65019.990267135196,6.406245232174115,65026.39651236737,6.406245232174115
90,65022.496059101286,4.411945809792087,65026.90800491108,4.411945809792087
91,65024.978223158745,3.654571181999927,65028.632794340745,3.654571181999927
92,65027.43724999932,4.336874545108003,65031.77412454443,4.336874545108003
93,65029.87361489063,3.3191016605778714,65033.19271655121,3.3191016605778714
94,65032.28777832172,4.821607631900406,65037.10938595362,4.821607631900406
95,65034.680186614896,6.322861692431616,65041.00304830733,6.322861692431616
96,65037.05127250613,4.073035893932683,65041.12430840006,4.073035893932683
97,65039.40145569589,3.731131758162519,65043.13258745405,3.731131758162519
99,65044.04073070751,5.086997574719135,65049.12772828223,5.086997574719135
98,65041.731143372184,7.876238981320057,65049.607382353504,7.876238981320057
100,65046.33060133123,3.587381148368877,65049.9179824796,3.587381148368877
101,65048.60112777889,3.5094919180919533,65052.110619696985,3.5094919180919533
102,65050.85267191972,4.475711932813283,65055.32838385253,4.475711932813283
103,65053.08558536366,3.4975974235858303,65056.583182787246,3.4975974235858303
104,65055.300209849105,4.4041744217902306,65059.704384270895,4.4041744217902306
105,65057.49687761231,4.264807742118137,65061.76168535443,4.264807742118137
106,65059.675911739694,3.761507202339999,65063.437418942034,3.761507202339999
107,65061.837626503766,3.500626676279353,65065.338253180045,3.500626676279353
109,65066.1103128721,3.6923602728711558,65069.80267314497,3.6923602728711558
108,65063.98232768384,6.908297017296718,65070.89062470114,6.908297017296718
110,65068.221871765985,3.3592884836762096,65071.58116024966,3.3592884836762096
112,65072.396831650556,4.290151567256544,65076.68698321781,4.290151567256544
113,65074.46077501582,4.429306668454956,65078.89008168427,4.429306668454956
111,65070.31728644756,10.597349936921091,65080.91463638448,10.597349936921091
114,65076.509377335584,4.522830177025753,65081.03220751261,4.522830177025753
115,65078.54289278736,3.219201282445283,65081.7620940698,3.219201282445283
116,65080.561569157835,6.292554383711831,65086.85412354155,6.292554383711831
117,65082.565648057316,4.769463691227429,65087.33511174854,4.769463691227429
118,65084.55536512525,3.0854859817554825,65087.640851107004,3.0854859817554825
119,65086.53095022716,5.1918223253887845,65091.72277255255,5.1918223253887845
120,65088.492627643565,4.4411260718115955,65092.93375371538,4.4411260718115955
121,65090.440616251115,3.1500943114660913,65093.59071056258,3.1500943114660913
122,65092.375129696455,3.3135133939867956,65095.68864309044,3.3135133939867956
124,65096.2045605317,3.689162077389483,65099.89372260909,3.689162077389483
125,65098.09988053389,4.4623096155773965,65102.56219014947,4.4623096155773965
126,65099.98253090025,3.143708855153818,65103.1262397554,3.143708855153818
123,65094.29637656311,9.292447833438928,65103.588824396546,9.292447833438928
127,65101.85270150242,4.359921989911527,65106.212623492334,4.359921989911527
128,65103.71057788978,5.825768798422359,65109.536346688205,5.825768798422359
129,65105.5563414209,3.9894042410087422,65109.54574566191,3.9894042410087422
130,65107.390169390004,3.7248659784090705,65111.11503536841,3.7248659784090705
131,65109.212235148654,3.968204644108482,65113.18043979276,3.968204644108482
132,65111.02270822294,4.470588628508267,65115.49329685145,4.470588628508267
133,65112.821754426266,4.6912099422333995,65117.5129643685,4.6912099422333995
135,65116.38621155832,5.393894012384408,65121.7801055707,5.393894012384408
134,65114.60953596803,7.255161205866898,65121.8646971739,7.255161205866898
136,65118.15193650881,4.434257818786136,65122.586194327596,4.434257818786136
137,65119.90686283003,4.577459021660616,65124.48432185169,4.577459021660616
138,65121.651139325164,4.851116634337814,65126.5022559595,4.851116634337814
139,65123.38491168054,4.192073869606247,65127.57698555015,4.192073869606247
140,65125.108322552886,4.685209447154193,65129.79353200004,4.685209447154193
141,65126.82151165359,5.125012786062143,65131.94652443965,5.125012786062143
143,65130.21776914394,4.379507363912126,65134.597276507855,4.379507363912126
142,65128.52461583,6.206692623214622,65134.731308453214,6.206692623214622
144,65131.90110294755,3.9477936517942,65135.848896599346,3.9477936517942
145,65133.5747459565,4.110918081809359,65137.68566403831,4.110918081809359
146,65135.238824320804,3.8046406505745836,65139.04346497138,3.8046406505745836
147,65136.89346169318,5.0266497026677825,65141.92011139585,5.0266497026677825
148,65138.538779295224,3.654294074520294,65142.193073369745,3.654294074520294
150,65141.80192830051,4.465420437583816,65146.267348738096,4.465420437583816
151,65143.41999055627,3.590832157591649,65147.01082271386,3.590832157591649
149,65140.17489598132,7.389093795653025,65147.56398977697,7.389093795653025
152,65145.02919486446,4.057015098158445,65149.08620996262,4.057015098158445
153,65146.62965120927,3.5096403457864653,65150.13929155505,3.5096403457864653
154,65148.22146749752,4.708466758376744,65152.929934255895,4.708466758376744
155,65149.804749611125,4.08089780305454,65153.88564741418,4.08089780305454
156,65151.37960145797,3.451203278498724,65154.83080473647,3.451203278498724
157,65152.94612502114,4.0894694551461725,65157.035594476285,4.0894694551461725
159,65156.05458588971,3.1843113506838563,65159.23889724039,3.1843113506838563
158,65154.50442040666,5.120943490714126,65159.62536389737,5.120943490714126
160,65157.59671795949,3.474130870308727,65161.0708488298,3.474130870308727
161,65159.130911362605,3.381050719835912,65162.51196208244,3.381050719835912
162,65160.65725914526,4.448937736458902,65165.106196881716,4.448937736458902
163,65162.17585269406,3.1930332694246317,65165.368885963486,3.1930332694246317
164,65163.686781775665,4.569134758472501,65168.25591653414,4.569134758472501
165,65165.19013457523,3.1627776760724373,65168.3529122513,3.1627776760724373
167,65168.17445638408,3.0897783775726566,65171.26423476165,3.0897783775726566
166,65166.68599773371,5.846530769238598,65172.53252850295,5.846530769238598
170,65172.596234727185,3.1663431503038737,65175.76257787749,3.1663431503038737
169,65171.12949336222,4.795732394086372,65175.925225756306,4.795732394086372
171,65174.055897723745,4.715998524581664,65178.77189624833,4.715998524581664
168,65169.65559418645,9.590677560008771,65179.24627174646,9.590677560008771
173,65176.9542997008,4.224053873811499,65181.178353574614,4.224053873811499
174,65178.39319097595,3.1497900165995816,65181.54298099255,3.1497900165995816
172,65175.50856045213,6.174541383770702,65181.6831018359,6.174541383770702
175,65179.82530853017,3.675136489822762,65183.50044501999,3.675136489822762
176,65181.25072539034,3.4972585993018583,65184.74798398964,3.4972585993018583
178,65184.0817431694,3.4241970197763294,65187.50594018918,3.4241970197763294
179,65185.48748425373,3.9366029924131,65189.424087246145,3.9366029924131
177,65182.66951338474,7.713316108674917,65190.382829493414,7.713316108674917
181,65188.279772774804,4.629251013131579,65192.909023787935,4.629251013131579
182,65189.66645371824,3.6502084165113047,65193.31666213475,3.6502084165113047
180,65186.88680502544,6.595451724875602,65193.482256750314,6.595451724875602
183,65191.04691302131,3.9131063946770155,65194.96001941599,3.9131063946770155
186,65195.1515974457,3.1490941623487743,65198.30069160805,3.1490941623487743
185,65193.7894222476,6.244333601309336,65200.03375584891,6.244333601309336
184,65192.42121482102,8.443980855889095,65200.86519567691,8.443980855889095
188,65197.858094930125,3.149195605496061,65201.00729053562,3.149195605496061
187,65196.507801594955,5.005134995306435,65201.51293659026,5.005134995306435
189,65199.202536760626,3.6828740167911747,65202.88541077742,3.6828740167911747
191,65201.8740986324,5.2534882279724116,65207.12758686037,5.2534882279724116
193,65204.522943890646,3.8046073898367467,65208.32755128048,3.8046073898367467
190,65200.54118548959,8.178648743094527,65208.71983423268,8.178648743094527
192,65203.20133283483,6.576179119605513,65209.77751195444,6.576179119605513
194,65205.83898675875,4.988863524376939,65210.82785028312,4.988863524376939
195,65207.149515579964,3.899858720258635,65211.04937430022,3.899858720258635
196,65208.45458369336,4.355663859620108,65212.81024755298,4.355663859620108
197,65209.75424365217,3.439797726314282,65213.19404137848,3.439797726314282
198,65211.04854723927,3.037264295082423,65214.08581153435,3.037264295082423
199,65212.33754548238,3.8106772949759034,65216.14822277736,3.8106772949759034
200,65213.6212886688,5.085757653432665,65218.70704632223,5.085757653432665
201,65214.89982635981,5.79322229790705,65220.69304865772,5.79322229790705
203,65217.44147995464,4.360483202770411,65221.80196315741,4.360483202770411
202,65216.17320740473,6.369409180821094,65222.54261658555,6.369409180821094
204,65218.704691475774,4.978819078853121,65223.68351055463,4.978819078853121
205,65219.962888762544,3.869306843713275,65223.83219560626,3.869306843713275
206,65221.21611795033,3.0139218118420104,65224.23003976217,3.0139218118420104
207,65222.46442452792,4.846322881276137,65227.310747409196,4.846322881276137
209,65224.946448647286,5.1959061123779975,65230.142354759664,5.1959061123779975
211,65227.40931255369,3.605363410359132,65231.01467596405,3.605363410359132
208,65223.70785334965,7.417438600590685,65231.125291950244,7.417438600590685
212,65228.633666616086,3.884946173784556,65232.51861278987,3.884946173784556
210,65226.180254041596,6.5614770493266406,65232.74173109092,6.5614770493266406
213,65229.85335808347,3.3130512725838344,65233.166409356054,3.3130512725838344
215,65232.278917826065,3.004350581577455,65235.28326840764,3.004350581577455
214,65231.06842824329,5.132144517287088,65236.20057276058,5.132144517287088
